country,year,value_type,value,Unit,source
India,2018,smelt_primary,195055,metric tonnes of Pb,USGS Mineral Yearbook (2019)
India,2019,smelt_primary,184901,metric tonnes of Pb,USGS Mineral Yearbook (2019)
India,2020,smelt_primary,200000,metric tonnes of Pb,USGS Mineral Yearbook (2020)
India,2021,smelt_primary,202968,metric tonnes of Pb,USGS Mineral Yearbook (2022)
India,2022,smelt_primary,205770,metric tonnes of Pb,USGS Mineral Yearbook (2023)
India,2023,smelt_primary,217275,metric tonnes of Pb,USGS Mineral Yearbook (2023)
