country,year,value_type,value,Unit,source
India,2018,mine_production,192496,metric tonnes of Pb,USGS Mineral Yearbook (2018)
India,2019,mine_production,202974,metric tonnes of Pb,USGS Mineral Yearbook (2023)
India,2020,mine_production,197527,metric tonnes of Pb,USGS Mineral Yearbook (2023)
India,2021,mine_production,219117,metric tonnes of Pb,USGS Mineral Yearbook (2023)
India,2022,mine_production,211844,metric tonnes of Pb,USGS Mineral Yearbook (2023)
India,2023,mine_production,220795,metric tonnes of Pb,USGS Mineral Yearbook (2023)
