country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
Bulgaria,2019,35453,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-Bulgaria-advrel.xlsx
Bulgaria,2020,37146,r,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Bulgaria-advrel.xlsx
Bulgaria,2021,35160,r,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Bulgaria-advrel.xlsx
Bulgaria,2022,40926,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Bulgaria-advrel.xlsx
Burkina Faso,2015,1100,e,2019,mine_production_pb_content,"Lead, mine, concentrate > Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-burkina-faso.xlsx
Burma,2015,13600,e,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-burma.xlsx
Burma,2016,14000,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-burma.xlsx
Burma,2017,20900,e,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-burma.xlsx
Burma,2018,38200,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-Burma-ert.xlsx
Burma,2019,37800,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-Burma-ert.xlsx
