country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
Canada,2022,42000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-canada.xlsx
China,2015,2870000,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,8,myb3-2019-china.xlsx
China,2016,3017000,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,6,myb3-2019-china.xlsx
China,2017,2649000,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,6,myb3-2020-21-china.xlsx
China,2018,2691000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,8,myb3-2022-china.xlsx
China,2019,2734000,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,8,myb3-2023-china.xlsx
China,2020,2800000,e,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,6,myb3-2023-china.xlsx
China,2021,2750000,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,6,myb3-2023-china.xlsx
China,2022,2806000,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,4,myb3-2023-china.xlsx
China,2023,2925000,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,2,myb3-2023-china.xlsx
Germany,2015,125000,,2019,refined_primary,"Lead, refinery > Primary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,3,myb3-2019-germany.xlsx
Germany,2016,115000,,2019,refined_primary,"Lead, refinery > Primary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,3,myb3-2019-germany.xlsx
Germany,2017,113000,,2020,refined_primary,"Lead, refinery > Primary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,3,myb3-2020-21-Germany-advrel.xlsx
Germany,2018,98000,,2022,refined_primary,"Lead, refinery > Primary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,4,myb3-2022-Germany-adv.xlsx
Germany,2019,103000,,2022,refined_primary,"Lead, refinery > Primary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,3,myb3-2022-Germany-adv.xlsx
Germany,2020,141000,,2022,refined_primary,"Lead, refinery > Primary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,2,myb3-2022-Germany-adv.xlsx
Germany,2021,93000,,2022,refined_primary,"Lead, refinery > Primary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,2,myb3-2022-Germany-adv.xlsx
Germany,2022,35000,,2022,refined_primary,"Lead, refinery > Primary","Thousand metric tons, gross weight, unless otherwise specified",converted_from_thousand_t,1,myb3-2022-Germany-adv.xlsx
India,2015,143000,,2017,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2017-18-India.xlsx
India,2016,134000,,2017,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2017-18-India.xlsx
India,2017,165122,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-india.xlsx
India,2018,195055,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-india.xlsx
India,2019,184901,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,5,myb3-2023-India-ERT.xlsx
India,2020,200000,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-India-ERT.xlsx
India,2021,202968,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-India-ERT.xlsx
India,2022,205770,r,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-India-ERT.xlsx
India,2023,217275,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-India-ERT.xlsx
Iran,2015,30000,r,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-iran.xlsx
Iran,2016,22000,r,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-iran.xlsx
Iran,2017,29000,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-iran.xlsx
Iran,2018,25000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-iran.xlsx
Iran,2019,25000,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-iran.xlsx
Iran,2020,23400,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-iran.xlsx
Iran,2021,24800,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-iran.xlsx
Iran,2022,30000,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-iran.xlsx
Iran,2023,29000,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-iran.xlsx
Italy,2015,52100,,2019,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-italy.xlsx
Italy,2016,47300,,2019,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-italy.xlsx
Italy,2017,30400,,2020,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Italy-advrel.xlsx
Italy,2018,32900,,2022,refined_primary,"Lead, refinery > Primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-Italy-ert.xlsx
