year,country_trans,bgs_commodity_trans,Mass of Pb,concat_figure_notes_text,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
1983,China,"lead, mine",200000,Estimates.,,,,,,,,,,,,
1983,Zimbabwe,"lead, refined",,,,,,,,,,,,,,
1983,Morocco,"lead, refined",57600,,,,,,,,,,,,,
1983,German Democratic Rep,"lead, refined",38700,Estimates.,,,,,,,,,,,,
1983,Kenya,"lead, refined",,,,,,,,,,,,,,
1983,Belgium,"lead, refined",134152,Including alloys.,,,,,,,,,,,,
1983,Yugoslavia,"lead, mine",114385,,,,,,,,,,,,,
1983,Mexico,"lead, refined",191500,,,,,,,,,,,,,
1983,Brazil,"lead, mine",18821,,,,,,,,,,,,,
1983,Korea (Rep. of),"lead, refined",17753,,,,,,,,,,,,,
1983,Brazil,"lead, refined",63066,Including scrap for direct use.,,,,,,,,,,,,
1983,France,"lead, refined",198388,,,,,,,,,,,,,
1983,Colombia,"lead, refined",3000,Estimates.,,,,,,,,,,,,
1983,Colombia,"lead, mine",154,,,,,,,,,,,,,
1983,Mexico,"lead, mine",167405,,,,,,,,,,,,,
1983,Czechoslovakia,"lead, refined",21030,,,,,,,,,,,,,
1983,New Zealand,"lead, refined",6000,,,,,,,,,,,,,
1983,Myanmar,"lead, mine",8900,,,,,,,,,,,,,
1983,Bulgaria,"lead, refined",116000,Estimates.,,,,,,,,,,,,
1983,Austria,"lead, refined",18241,,,,,,,,,,,,,
1983,Japan,"lead, mine",46994,,,,,,,,,,,,,
1983,Italy,"lead, refined",131829,,,,,,,,,,,,,
1983,Myanmar,"lead, refined",7636,,,,,,,,,,,,,
1983,Chile,"lead, mine",1679,,,,,,,,,,,,,
1983,Yugoslavia,"lead, refined",97531,,,,,,,,,,,,,
1983,Canada,"lead, mine",251383,,,,,,,,,,,,,
1984,Mexico,"lead, mine",183314,,,,,,,,,,,,,
1984,Mexico,"lead, refined",193200,,,,,,,,,,,,,
1984,Zimbabwe,"lead, refined",,,,,,,,,,,,,,
1984,Belgium,"lead, refined",127711,Including alloys.,,,,,,,,,,,,
1984,Canada,"lead, mine",311391,,,,,,,,,,,,,
1984,Namibia,"lead, mine",42600,,,,,,,,,,,,,
1984,Namibia,"lead, refined",28930,,,,,,,,,,,,,
1984,China,"lead, mine",210000,Estimates.,,,,,,,,,,,,
1984,Denmark,"lead, refined",13128,Sales.,,,,,,,,,,,,
1984,Chile,"lead, mine",4284,,,,,,,,,,,,,
1984,Myanmar,"lead, refined",6995,,,,,,,,,,,,,
1984,Australia,"lead, refined",220347,,,,,,,,,,,,,
1984,Japan,"lead, mine",48110,,,,,,,,,,,,,
1984,Austria,"lead, refined",20066,,,,,,,,,,,,,
1984,Bulgaria,"lead, refined",114000,Estimates.,,,,,,,,,,,,
1984,Korea (Rep. of),"lead, refined",20304,,,,,,,,,,,,,
1984,Myanmar,"lead, mine",8300,,,,,,,,,,,,,
1984,New Zealand,"lead, refined",6000,,,,,,,,,,,,,
1984,Czechoslovakia,"lead, refined",21134,,,,,,,,,,,,,
1984,Colombia,"lead, mine",51,,,,,,,,,,,,,
1984,France,"lead, refined",205701,,,,,,,,,,,,,
1984,Colombia,"lead, refined",3400,Estimates.,,,,,,,,,,,,
1984,German Democratic Rep,"lead, refined",44700,Estimates.,,,,,,,,,,,,
1984,Greece,"lead, refined",11600,,,,,,,,,,,,,
1984,Brazil,"lead, refined",71621,Including scrap for direct use.,,,,,,,,,,,,
1984,Brazil,"lead, mine",18775,,,,,,,,,,,,,
1984,Yugoslavia,"lead, mine",113648,,,,,,,,,,,,,
1984,Kenya,"lead, refined",,,,,,,,,,,,,,
1984,Morocco,"lead, refined",48300,,,,,,,,,,,,,
1984,Italy,"lead, refined",146458,,,,,,,,,,,,,
1984,Czechoslovakia,"lead, mine",3100,,,,,,,,,,,,,
1984,Yugoslavia,"lead, refined",82815,,,,,,,,,,,,,
1984,Spain,"lead, mine",96726,,,,,,,,,,,,,
1984,Thailand,"lead, mine",24306,,,,,,,,,,,,,
1984,Tunisia,"lead, mine",4100,,,,,,,,,,,,,
1984,Philippines,"lead, refined",4000,,,,,,,,,,,,,
1984,South Africa,"lead, mine",94764,,,,,,,,,,,,,
1984,Taiwan,"lead, refined",44300,,,,,,,,,,,,,
1984,United Kingdom,"lead, refined",338374,,,,,,,,,,,,,
1984,Turkey,"lead, mine",15786,,,,,,,,,,,,,
1984,Soviet Union,"lead, refined",800000,Estimates.,,,,,,,,,,,,
1984,USA,"lead, mine",334500,,,,,,,,,,,,,
1984,India,"lead, refined",22697,,,,,,,,,,,,,
1984,United Arab Emirates,"lead, refined",,,,,,,,,,,,,,
1984,Peru,"lead, mine",198400,Recoverable.,,,,,,,,,,,,
1984,Sri Lanka,"lead, refined",,,,,,,,,,,,,,
1984,Poland,"lead, mine",52800,,,,,,,,,,,,,
1984,Indonesia,"lead, refined",4000,Estimates.,,,,,,,,,,,,
1984,Argentina,"lead, refined",28000,,,,,,,,,,,,,
1984,Sweden,"lead, refined",65636,,,,,,,,,,,,,
1984,Iran,"lead, mine",19900,Years ended 20 March following that stated.,,,,,,,,,,,,
1984,USA,"lead, refined",965100,Excluding lead content of primary antimonial lead.,,,,,,,,,,,,
1984,Romania,"lead, mine",30000,Estimates.,,,,,,,,,,,,
1984,China,"lead, refined",200000,Estimates.,,,,,,,,,,,,
1984,Trinidad & Tobago,"lead, refined",1200,Estimates.,,,,,,,,,,,,
1984,Italy,"lead, mine",21500,,,,,,,,,,,,,
1984,Sweden,"lead, mine",87297,,,,,,,,,,,,,
1984,Tunisia,"lead, refined",8399,,,,,,,,,,,,,
1984,United Kingdom,"lead, mine",2431,,,,,,,,,,,,,
1984,Zambia,"lead, mine",20310,,,,,,,,,,,,,
1984,Malaysia,"lead, refined",9000,,,,,,,,,,,,,
1984,Argentina,"lead, mine",28542,,,,,,,,,,,,,
1984,German Federal Republic,"lead, refined",357200,,,,,,,,,,,,,
1984,Thailand,"lead, refined",6198,,,,,,,,,,,,,
1984,Norway,"lead, mine",3967,,,,,,,,,,,,,
1984,Greenland,"lead, mine",17800,,,,,,,,,,,,,
1984,Algeria,"lead, refined",5000,,,,,,,,,,,,,
1984,Japan,"lead, refined",362948,,,,,,,,,,,,,
1984,German Federal Republic,"lead, mine",21000,Recoverable.,,,,,,,,,,,,
1984,Congo,"lead, mine",2500,,,,,,,,,,,,,
1984,India,"lead, mine",18600,,,,,,,,,,,,,
1984,Netherlands,"lead, refined",33600,,,,,,,,,,,,,
1984,Austria,"lead, mine",5574,,,,,,,,,,,,,
1984,"Ireland, Republic of","lead, refined",9000,,,,,,,,,,,,,
1984,Bulgaria,"lead, mine",95000,,,,,,,,,,,,,
1984,Finland,"lead, mine",2478,,,,,,,,,,,,,
1984,Australia,"lead, mine",440620,,,,,,,,,,,,,
1984,South Africa,"lead, refined",24000,,,,,,,,,,,,,
1984,Algeria,"lead, mine",3600,,,,,,,,,,,,,
1984,Turkey,"lead, refined",9000,,,,,,,,,,,,,
1984,Spain,"lead, refined",147600,,,,,,,,,,,,,
1984,Greece,"lead, mine",22154,,,,,,,,,,,,,
1984,Romania,"lead, refined",45917,,,,,,,,,,,,,
1984,Switzerland,"lead, refined",2000,,,,,,,,,,,,,
1984,Canada,"lead, refined",254380,,,,,,,,,,,,,
1984,Peru,"lead, refined",71200,,,,,,,,,,,,,
1984,Honduras,"lead, mine",21054,,,,,,,,,,,,,
1984,Zambia,"lead, refined",3300,,,,,,,,,,,,,
1984,Morocco,"lead, mine",100558,,,,,,,,,,,,,
1984,Portugal,"lead, refined",6000,,,,,,,,,,,,,
1984,Hungary,"lead, mine",587,,,,,,,,,,,,,
1984,Korea (Rep. of),"lead, mine",10837,,,,,,,,,,,,,
1984,Bolivia,"lead, mine",7371,,,,,,,,,,,,,
1984,Poland,"lead, refined",83400,,,,,,,,,,,,,
1984,Nigeria,"lead, refined",600,,,,,,,,,,,,,
1984,"Ireland, Republic of","lead, mine",37200,,,,,,,,,,,,,
1984,Jamaica,"lead, refined",2000,Estimates.,,,,,,,,,,,,
1984,Venezuela,"lead, refined",17000,,,,,,,,,,,,,
1984,"Korea, Dem. P.R. of","lead, refined",65000,Estimates.,,,,,,,,,,,,
1984,France,"lead, mine",2647,,,,,,,,,,,,,
1984,Soviet Union,"lead, mine",570000,Estimates.,,,,,,,,,,,,
1984,Iran,"lead, refined",7500,,,,,,,,,,,,,
1984,"Korea, Dem. P.R. of","lead, mine",90000,Estimates.,,,,,,,,,,,,
1984,Nigeria,"lead, mine",200,Estimates.,,,,,,,,,,,,
1984,Finland,"lead, refined",2074,,,,,,,,,,,,,
1985,Venezuela,"lead, refined",20000,,,,,,,,,,,,,
1985,Thailand,"lead, refined",7536,,,,,,,,,,,,,
1985,Poland,"lead, refined",87300,,,,,,,,,,,,,
1985,Zambia,"lead, refined",8873,,,,,,,,,,,,,
1985,Greenland,"lead, mine",17800,,,,,,,,,,,,,
1985,Congo,"lead, mine",1500,,,,,,,,,,,,,
1985,Sweden,"lead, mine",80604,,,,,,,,,,,,,
1985,Nigeria,"lead, mine",260,Estimates.,,,,,,,,,,,,
1985,Trinidad & Tobago,"lead, refined",1500,Estimates.,,,,,,,,,,,,
1985,"Ireland, Republic of","lead, mine",34600,,,,,,,,,,,,,
1985,Italy,"lead, mine",15622,,,,,,,,,,,,,
1985,Australia,"lead, mine",497954,,,,,,,,,,,,,
1985,Korea (Rep. of),"lead, mine",9698,,,,,,,,,,,,,
1985,Malaysia,"lead, refined",10000,,,,,,,,,,,,,
1985,Spain,"lead, refined",156100,,,,,,,,,,,,,
1985,Canada,"lead, refined",240011,,,,,,,,,,,,,
1985,Morocco,"lead, mine",107072,,,,,,,,,,,,,
1985,Soviet Union,"lead, mine",580000,Estimates.,,,,,,,,,,,,
1985,Jamaica,"lead, refined",600,Estimates.,,,,,,,,,,,,
1985,Argentina,"lead, mine",28582,,,,,,,,,,,,,
1985,Japan,"lead, refined",367000,,,,,,,,,,,,,
1985,Finland,"lead, mine",2927,,,,,,,,,,,,,
1985,Netherlands,"lead, refined",37300,,,,,,,,,,,,,
1985,Algeria,"lead, mine",3800,,,,,,,,,,,,,
1985,Iran,"lead, refined",7500,,,,,,,,,,,,,
1985,Norway,"lead, mine",3597,,,,,,,,,,,,,
1985,Austria,"lead, mine",7500,,,,,,,,,,,,,
1985,Portugal,"lead, refined",7000,,,,,,,,,,,,,
1985,Bulgaria,"lead, mine",97000,,,,,,,,,,,,,
1985,Finland,"lead, refined",4600,Estimates.,,,,,,,,,,,,
1985,Zambia,"lead, mine",15062,,,,,,,,,,,,,
1985,France,"lead, mine",2488,,,,,,,,,,,,,
1985,Algeria,"lead, refined",4000,,,,,,,,,,,,,
1985,Tunisia,"lead, refined",2043,,,,,,,,,,,,,
1985,German Federal Republic,"lead, mine",20500,Recoverable.,,,,,,,,,,,,
1985,Turkey,"lead, refined",10000,,,,,,,,,,,,,
1985,India,"lead, mine",26000,,,,,,,,,,,,,
1985,Romania,"lead, refined",48636,,,,,,,,,,,,,
1985,German Federal Republic,"lead, refined",356400,,,,,,,,,,,,,
1985,"Korea, Dem. P.R. of","lead, refined",65000,Estimates.,,,,,,,,,,,,
1985,Nigeria,"lead, refined",800,,,,,,,,,,,,,
1985,South Africa,"lead, refined",34100,,,,,,,,,,,,,
1985,United Kingdom,"lead, mine",3994,,,,,,,,,,,,,
1985,Greece,"lead, mine",19752,,,,,,,,,,,,,
1985,Honduras,"lead, mine",21250,,,,,,,,,,,,,
1985,Bolivia,"lead, mine",6242,,,,,,,,,,,,,
1985,Hungary,"lead, mine",575,,,,,,,,,,,,,
1985,"Korea, Dem. P.R. of","lead, mine",80000,Estimates.,,,,,,,,,,,,
1985,China,"lead, refined",222500,,,,,,,,,,,,,
1985,"Ireland, Republic of","lead, refined",10000,,,,,,,,,,,,,
1985,Switzerland,"lead, refined",2000,,,,,,,,,,,,,
1985,Peru,"lead, refined",83300,,,,,,,,,,,,,
1985,Yugoslavia,"lead, mine",115115,,,,,,,,,,,,,
1985,Australia,"lead, refined",215747,,,,,,,,,,,,,
1985,Kenya,"lead, refined",,,,,,,,,,,,,,
1985,Morocco,"lead, refined",63500,,,,,,,,,,,,,
1985,Italy,"lead, refined",140055,,,,,,,,,,,,,
1985,Mexico,"lead, mine",206732,,,,,,,,,,,,,
1985,Yugoslavia,"lead, refined",99954,,,,,,,,,,,,,
1985,Colombia,"lead, refined",3700,Estimates.,,,,,,,,,,,,
1985,Myanmar,"lead, refined",9400,,,,,,,,,,,,,
1985,Belgium,"lead, refined",114293,Including alloys.,,,,,,,,,,,,
1985,Denmark,"lead, refined",4503,Sales.,,,,,,,,,,,,
1985,Korea (Rep. of),"lead, refined",23594,,,,,,,,,,,,,
1985,New Zealand,"lead, refined",6000,,,,,,,,,,,,,
1985,Greece,"lead, refined",13700,,,,,,,,,,,,,
1985,Brazil,"lead, refined",81575,Including scrap for direct use.,,,,,,,,,,,,
1985,Brazil,"lead, mine",16997,,,,,,,,,,,,,
1985,Bulgaria,"lead, refined",116000,Estimates.,,,,,,,,,,,,
1985,Namibia,"lead, mine",28284,,,,,,,,,,,,,
1985,German Democratic Rep,"lead, refined",41000,,,,,,,,,,,,,
1985,Namibia,"lead, refined",38511,,,,,,,,,,,,,
1985,Canada,"lead, mine",307400,,,,,,,,,,,,,
1985,China,"lead, mine",230500,,,,,,,,,,,,,
1985,Chile,"lead, mine",2473,,,,,,,,,,,,,
1985,Czechoslovakia,"lead, refined",21437,,,,,,,,,,,,,
1985,Japan,"lead, mine",49716,,,,,,,,,,,,,
1985,Czechoslovakia,"lead, mine",2718,,,,,,,,,,,,,
1985,France,"lead, refined",223637,,,,,,,,,,,,,
1985,Austria,"lead, refined",19696,,,,,,,,,,,,,
1985,Mexico,"lead, refined",223500,,,,,,,,,,,,,
1985,Colombia,"lead, mine",82,Estimates.,,,,,,,,,,,,
1985,Myanmar,"lead, mine",7623,,,,,,,,,,,,,
1985,Zimbabwe,"lead, refined",2000,Estimates.,,,,,,,,,,,,
1985,Sri Lanka,"lead, refined",1000,Estimates.,,,,,,,,,,,,
1985,Turkey,"lead, mine",9790,,,,,,,,,,,,,
1985,Romania,"lead, mine",34300,Estimates.,,,,,,,,,,,,
1985,Indonesia,"lead, refined",7000,Estimates.,,,,,,,,,,,,
1985,Sweden,"lead, refined",56975,,,,,,,,,,,,,
1985,Taiwan,"lead, refined",48700,,,,,,,,,,,,,
1985,USA,"lead, mine",424200,,,,,,,,,,,,,
1985,Iran,"lead, mine",23000,Years ended 20 March following that stated.,,,,,,,,,,,,
1985,Philippines,"lead, refined",7000,,,,,,,,,,,,,
1985,USA,"lead, refined",1053600,Excluding lead content of primary antimonial lead.,,,,,,,,,,,,
1985,Argentina,"lead, refined",28663,,,,,,,,,,,,,
1985,Peru,"lead, mine",200600,Recoverable.,,,,,,,,,,,,
1985,Soviet Union,"lead, refined",810000,Estimates.,,,,,,,,,,,,
1985,Thailand,"lead, mine",28672,,,,,,,,,,,,,
1985,United Kingdom,"lead, refined",327197,,,,,,,,,,,,,
1985,Spain,"lead, mine",85636,,,,,,,,,,,,,
1985,United Arab Emirates,"lead, refined",1500,Estimates.,,,,,,,,,,,,
1985,South Africa,"lead, mine",98424,,,,,,,,,,,,,
1985,India,"lead, refined",22185,,,,,,,,,,,,,
1985,Tunisia,"lead, mine",2500,,,,,,,,,,,,,
1985,Poland,"lead, mine",51300,,,,,,,,,,,,,
1986,Romania,"lead, mine",36300,Estimates.,,,,,,,,,,,,
1986,United Arab Emirates,"lead, refined",1500,Estimates.,,,,,,,,,,,,
1986,Indonesia,"lead, refined",6000,Estimates.,,,,,,,,,,,,
1986,Argentina,"lead, refined",30657,,,,,,,,,,,,,
1986,USA,"lead, refined",916830,Excluding lead content of primary antimonial lead.,,,,,,,,,,,,
1986,South Africa,"lead, mine",97778,,,,,,,,,,,,,
1986,Tunisia,"lead, mine",1900,,,,,,,,,,,,,
1986,Philippines,"lead, refined",7000,,,,,,,,,,,,,
1986,Sri Lanka,"lead, refined",1000,Estimates.,,,,,,,,,,,,
1986,Iran,"lead, mine",22000,Years ended 20 March following that stated.,,,,,,,,,,,,
1986,India,"lead, refined",26831,,,,,,,,,,,,,
1986,Turkey,"lead, mine",9626,,,,,,,,,,,,,
1986,Taiwan,"lead, refined",53500,,,,,,,,,,,,,
1986,Poland,"lead, mine",42500,,,,,,,,,,,,,
1986,Thailand,"lead, mine",38369,,,,,,,,,,,,,
1986,USA,"lead, mine",353100,,,,,,,,,,,,,
1986,United Kingdom,"lead, refined",328630,,,,,,,,,,,,,
1986,Spain,"lead, mine",82057,,,,,,,,,,,,,
1986,Sweden,"lead, refined",87604,,,,,,,,,,,,,
1986,Soviet Union,"lead, refined",790000,Estimates.,,,,,,,,,,,,
1986,Peru,"lead, mine",194378,Recoverable.,,,,,,,,,,,,
1986,China,"lead, refined",239600,Estimates.,,,,,,,,,,,,
1986,Romania,"lead, refined",38400,,,,,,,,,,,,,
1986,Bulgaria,"lead, mine",69500,,,,,,,,,,,,,
1986,Netherlands,"lead, refined",35700,,,,,,,,,,,,,
1986,Portugal,"lead, refined",6000,,,,,,,,,,,,,
1986,"Ireland, Republic of","lead, refined",10000,,,,,,,,,,,,,
1986,German Federal Republic,"lead, refined",366600,,,,,,,,,,,,,
1986,Norway,"lead, mine",3366,,,,,,,,,,,,,
1986,Iran,"lead, refined",8000,,,,,,,,,,,,,
1986,"Korea, Dem. P.R. of","lead, refined",65000,Estimates.,,,,,,,,,,,,
1986,Nigeria,"lead, refined",600,Estimates.,,,,,,,,,,,,
1986,South Africa,"lead, refined",29700,,,,,,,,,,,,,
1986,Thailand,"lead, refined",9122,,,,,,,,,,,,,
1986,Finland,"lead, mine",1980,,,,,,,,,,,,,
1986,Japan,"lead, refined",361452,,,,,,,,,,,,,
1986,Greenland,"lead, mine",17000,,,,,,,,,,,,,
1986,Venezuela,"lead, refined",19000,,,,,,,,,,,,,
1986,Argentina,"lead, mine",26868,,,,,,,,,,,,,
1986,United Kingdom,"lead, mine",648,,,,,,,,,,,,,
1986,Jamaica,"lead, refined",800,Estimates.,,,,,,,,,,,,
1986,Soviet Union,"lead, mine",520000,Estimates.,,,,,,,,,,,,
1986,Malaysia,"lead, refined",12000,,,,,,,,,,,,,
1986,Canada,"lead, refined",257680,,,,,,,,,,,,,
1986,Switzerland,"lead, refined",2500,,,,,,,,,,,,,
1986,Greece,"lead, mine",20873,,,,,,,,,,,,,
1986,Spain,"lead, refined",124900,,,,,,,,,,,,,
1986,Honduras,"lead, mine",6454,,,,,,,,,,,,,
1986,Peru,"lead, refined",67400,,,,,,,,,,,,,
1986,Morocco,"lead, mine",77152,,,,,,,,,,,,,
1986,Hungary,"lead, mine",174,Estimates.,,,,,,,,,,,,
1986,Zambia,"lead, refined",6648,,,,,,,,,,,,,
1986,Korea (Rep. of),"lead, mine",11863,,,,,,,,,,,,,
1986,Australia,"lead, mine",447673,,,,,,,,,,,,,
1986,Italy,"lead, mine",11119,,,,,,,,,,,,,
1986,"Ireland, Republic of","lead, mine",36400,,,,,,,,,,,,,
1986,Poland,"lead, refined",88300,,,,,,,,,,,,,
1986,Algeria,"lead, mine",3500,,,,,,,,,,,,,
1986,Trinidad & Tobago,"lead, refined",1400,Estimates.,,,,,,,,,,,,
1986,Sweden,"lead, mine",91729,,,,,,,,,,,,,
1986,Nigeria,"lead, mine",100,Estimates.,,,,,,,,,,,,
1986,"Korea, Dem. P.R. of","lead, mine",85000,Estimates.,,,,,,,,,,,,
1986,Tunisia,"lead, refined",2349,,,,,,,,,,,,,
1986,Bolivia,"lead, mine",2568,,,,,,,,,,,,,
1986,Algeria,"lead, refined",4000,,,,,,,,,,,,,
1986,India,"lead, mine",25000,,,,,,,,,,,,,
1986,France,"lead, mine",2478,,,,,,,,,,,,,
1986,Zambia,"lead, mine",15375,,,,,,,,,,,,,
1986,Congo,"lead, mine",400,,,,,,,,,,,,,
1986,German Federal Republic,"lead, mine",22200,Recoverable.,,,,,,,,,,,,
1986,Finland,"lead, refined",1200,Estimates.,,,,,,,,,,,,
1986,Austria,"lead, mine",5699,,,,,,,,,,,,,
1986,Turkey,"lead, refined",9600,,,,,,,,,,,,,
1986,Czechoslovakia,"lead, refined",23602,,,,,,,,,,,,,
1986,Bulgaria,"lead, refined",96000,Estimates.,,,,,,,,,,,,
1986,Yugoslavia,"lead, mine",116944,,,,,,,,,,,,,
1986,Myanmar,"lead, refined",5948,,,,,,,,,,,,,
1986,Austria,"lead, refined",18807,,,,,,,,,,,,,
1986,Chile,"lead, mine",1501,,,,,,,,,,,,,
1986,Myanmar,"lead, mine",6600,,,,,,,,,,,,,
1986,Belgium,"lead, refined",98313,Including alloys.,,,,,,,,,,,,
1986,German Democratic Rep,"lead, refined",66500,Estimates.,,,,,,,,,,,,
1986,New Zealand,"lead, refined",4000,,,,,,,,,,,,,
1986,Yugoslavia,"lead, refined",113154,,,,,,,,,,,,,
1986,Mexico,"lead, refined",198900,,,,,,,,,,,,,
1986,Colombia,"lead, mine",101,Estimates.,,,,,,,,,,,,
1986,Korea (Rep. of),"lead, refined",52174,,,,,,,,,,,,,
1986,Brazil,"lead, refined",71642,Including scrap for direct use.,,,,,,,,,,,,
1986,Colombia,"lead, refined",4000,Estimates.,,,,,,,,,,,,
1986,Australia,"lead, refined",171039,,,,,,,,,,,,,
1986,Greece,"lead, refined",19300,,,,,,,,,,,,,
1986,Kenya,"lead, refined",2000,,,,,,,,,,,,,
1986,Mexico,"lead, mine",182672,,,,,,,,,,,,,
1986,Brazil,"lead, mine",13614,,,,,,,,,,,,,
1986,Italy,"lead, refined",132374,,,,,,,,,,,,,
1986,Czechoslovakia,"lead, mine",2944,,,,,,,,,,,,,
1986,China,"lead, mine",226800,Estimates.,,,,,,,,,,,,
1986,Denmark,"lead, refined",500,Estimates.|Sales.,,,,,,,,,,,,
1986,Namibia,"lead, refined",40047,,,,,,,,,,,,,
1986,Morocco,"lead, refined",55300,,,,,,,,,,,,,
1986,Canada,"lead, mine",349281,,,,,,,,,,,,,
1986,France,"lead, refined",230403,,,,,,,,,,,,,
1986,Zimbabwe,"lead, refined",3000,Estimates.,,,,,,,,,,,,
1986,Japan,"lead, mine",34998,,,,,,,,,,,,,
1986,Namibia,"lead, mine",23326,,,,,,,,,,,,,
1987,Belgium,"lead, refined",108030,Including alloys.,,,,,,,,,,,,
1987,Mexico,"lead, refined",238800,,,,,,,,,,,,,
1987,Brazil,"lead, refined",71720,,,,,,,,,,,,,
1987,Austria,"lead, refined",22841,,,,,,,,,,,,,
1987,Yugoslavia,"lead, refined",112417,,,,,,,,,,,,,
1987,Namibia,"lead, mine",23692,,,,,,,,,,,,,
1987,German Democratic Rep,"lead, refined",62100,,,,,,,,,,,,,
1987,Czechoslovakia,"lead, refined",26008,,,,,,,,,,,,,
1987,Bulgaria,"lead, refined",100600,Estimates.,,,,,,,,,,,,
1987,China,"lead, mine",267300,,,,,,,,,,,,,
1987,Morocco,"lead, refined",64900,,,,,,,,,,,,,
1987,Canada,"lead, mine",423207,,,,,,,,,,,,,
1987,Korea (Rep. of),"lead, refined",89926,,,,,,,,,,,,,
1987,Chile,"lead, mine",829,,,,,,,,,,,,,
1987,New Zealand,"lead, refined",4000,,,,,,,,,,,,,
1987,Japan,"lead, mine",28024,,,,,,,,,,,,,
1987,Namibia,"lead, refined",40634,,,,,,,,,,,,,
1987,Yugoslavia,"lead, mine",106670,,,,,,,,,,,,,
1987,France,"lead, refined",245924,,,,,,,,,,,,,
1987,Mexico,"lead, mine",177161,,,,,,,,,,,,,
1987,Kenya,"lead, refined",2100,,,,,,,,,,,,,
1987,Italy,"lead, refined",168300,,,,,,,,,,,,,
1987,Australia,"lead, refined",216660,,,,,,,,,,,,,
1987,Brazil,"lead, mine",11472,,,,,,,,,,,,,
1987,Myanmar,"lead, refined",4093,,,,,,,,,,,,,
1987,Kenya,"lead, mine",,,,,,,,,,,,,,
1987,Greece,"lead, refined",2700,,,,,,,,,,,,,
1987,Colombia,"lead, refined",4500,Estimates.,,,,,,,,,,,,
1987,Myanmar,"lead, mine",4600,,,,,,,,,,,,,
1987,Zimbabwe,"lead, refined",3000,Estimates.,,,,,,,,,,,,
1987,Czechoslovakia,"lead, mine",2849,,,,,,,,,,,,,
1987,Sweden,"lead, refined",92858,,,,,,,,,,,,,
1987,Spain,"lead, mine",81629,,,,,,,,,,,,,
1987,Indonesia,"lead, refined",7000,,,,,,,,,,,,,
1987,Iran,"lead, mine",20000,Years ended 20 March following that stated.,,,,,,,,,,,,
1987,Taiwan,"lead, refined",66400,,,,,,,,,,,,,
1987,Soviet Union,"lead, refined",775000,Estimates.,,,,,,,,,,,,
1987,Thailand,"lead, mine",34286,,,,,,,,,,,,,
1987,USA,"lead, refined",1031765,Excluding lead content of primary antimonial lead.,,,,,,,,,,,,
1987,India,"lead, refined",30466,,,,,,,,,,,,,
1987,South Africa,"lead, mine",93642,,,,,,,,,,,,,
1987,USA,"lead, mine",318700,,,,,,,,,,,,,
1987,Tunisia,"lead, mine",2100,,,,,,,,,,,,,
1987,Romania,"lead, mine",37500,Estimates.,,,,,,,,,,,,
1987,Pakistan,"lead, refined",2000,Estimates.,,,,,,,,,,,,
1987,Turkey,"lead, mine",9094,,,,,,,,,,,,,
1987,Poland,"lead, mine",48800,,,,,,,,,,,,,
1987,United Arab Emirates,"lead, refined",1500,Estimates.,,,,,,,,,,,,
1987,United Kingdom,"lead, refined",346954,,,,,,,,,,,,,
1987,Argentina,"lead, refined",32173,,,,,,,,,,,,,
1987,Peru,"lead, mine",203950,Recoverable.,,,,,,,,,,,,
1987,Philippines,"lead, refined",9200,,,,,,,,,,,,,
1987,Sri Lanka,"lead, refined",1000,Estimates.,,,,,,,,,,,,
1987,Peru,"lead, refined",70792,,,,,,,,,,,,,
1987,Canada,"lead, refined",230661,,,,,,,,,,,,,
1987,Turkey,"lead, refined",10000,,,,,,,,,,,,,
1987,Zambia,"lead, mine",12380,,,,,,,,,,,,,
1987,India,"lead, mine",29000,,,,,,,,,,,,,
1987,Nigeria,"lead, refined",2300,,,,,,,,,,,,,
1987,Netherlands,"lead, refined",40300,,,,,,,,,,,,,
1987,Bulgaria,"lead, mine",60700,,,,,,,,,,,,,
1987,Malaysia,"lead, refined",9000,,,,,,,,,,,,,
1987,Portugal,"lead, refined",7000,,,,,,,,,,,,,
1987,Greece,"lead, mine",20600,,,,,,,,,,,,,
1987,"Korea, Dem. P.R. of","lead, mine",90000,Estimates.,,,,,,,,,,,,
1987,Romania,"lead, refined",43200,,,,,,,,,,,,,
1987,German Federal Republic,"lead, refined",340400,,,,,,,,,,,,,
1987,"Korea, Dem. P.R. of","lead, refined",55000,Estimates.,,,,,,,,,,,,
1987,China,"lead, refined",246400,,,,,,,,,,,,,
1987,Spain,"lead, refined",122700,,,,,,,,,,,,,
1987,Algeria,"lead, refined",4000,,,,,,,,,,,,,
1987,"Ireland, Republic of","lead, refined",10000,,,,,,,,,,,,,
1987,Morocco,"lead, mine",75185,,,,,,,,,,,,,
1987,Nigeria,"lead, mine",100,Estimates.,,,,,,,,,,,,
1987,Iran,"lead, refined",10000,,,,,,,,,,,,,
1987,Norway,"lead, mine",3071,,,,,,,,,,,,,
1987,Japan,"lead, refined",338500,,,,,,,,,,,,,
1987,Finland,"lead, mine",2401,,,,,,,,,,,,,
1987,South Africa,"lead, refined",34500,,,,,,,,,,,,,
1987,Zambia,"lead, refined",7979,,,,,,,,,,,,,
1987,Sweden,"lead, mine",95141,,,,,,,,,,,,,
1987,France,"lead, mine",2199,,,,,,,,,,,,,
1987,Poland,"lead, refined",89800,,,,,,,,,,,,,
