country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file,,,,
Bolivia,2021,3000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bolivia-advrel.xlsx,,,,
Brazil,2015,152161,,2019,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-brazil.xlsx,,,,
Brazil,2016,156186,,2019,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-brazil.xlsx,,,,
Brazil,2017,240000,r,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Brazil-ERT.xlsx,,,,
Brazil,2018,250000,r,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Brazil-ERT.xlsx,,,,
Brazil,2019,254000,r,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2020-21-Brazil-ERT.xlsx,,,,
Brazil,2020,260000,,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Brazil-ERT.xlsx,,,,
Brazil,2021,265000,,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Brazil-ERT.xlsx,,,,
Bulgaria,2015,96900,,2019,refined_secondary,"Lead > Refinery, primary and secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-bulgaria.xlsx,,,,
Bulgaria,2016,100817,,2019,refined_secondary,"Lead > Refinery, primary and secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-bulgaria.xlsx,,,,
Bulgaria,2017,50000,e,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Bulgaria-advrel.xlsx,,,,
Bulgaria,2018,31111,r,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-Bulgaria-advrel.xlsx,,,,
Bulgaria,2019,30878,r,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-Bulgaria-advrel.xlsx,,,,
Bulgaria,2020,33153,r,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Bulgaria-advrel.xlsx,,,,
Bulgaria,2021,32673,r,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Bulgaria-advrel.xlsx,,,,
Bulgaria,2022,33719,,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Bulgaria-advrel.xlsx,,,,
Burma,2017,12000,,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-burma.xlsx,,,,
Burma,2018,12000,,2022,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Burma-ert.xlsx,,,,
Burma,2019,12000,,2022,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Burma-ert.xlsx,,,,
Burma,2020,11000,,2022,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Burma-ert.xlsx,,,,
Burma,2021,10900,,2022,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Burma-ert.xlsx,,,,
Burma,2022,10000,,2022,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Burma-ert.xlsx,,,,
Canada,2015,141600,,2019,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-canada.xlsx,,,,
Canada,2016,132150,,2019,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-canada.xlsx,,,,
Canada,2017,149506,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-canada.xlsx,,,,
Canada,2018,141000,e,2022,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-canada.xlsx,,,,
